Tokens          Lexeme
Keyword         int
Identifier      x1x
Operator        =
Integer         0
Separator       ;
Keyword         boolean
Invalid         is5
Operator        =
Keyword         false
Separator       ;
Keyword         while
Separator       (
Identifier      x1x
Operator        <
Integer         10
Separator       )
Separator       {
Keyword         if
Separator       (
Identifier      x
Operator        <
Operator        =
Integer         5
Separator       )
Separator       {
Invalid         is5
Operator        =
Keyword         true
Separator       ;
Keyword         put
Separator       (
Identifier      this
Identifier      is
Integer         5
Separator       )
Separator       }
Keyword         ifend
Keyword         else
Separator       {
Invalid         is5
Operator        =
Keyword         false
Separator       ;
Separator       (
Identifier      this
Identifier      is
Identifier      not
Integer         5
Separator       )
Separator       }
Keyword         ifend
Identifier      x1x
Operator        =
Identifier      x1x
Operator        +
Integer         1
Separator       ;
Separator       }
Keyword         whileend
